...Gewässer in Deutschland,Rhein,Bodensee,Elbe,Donau,Main
...amerikanische Bundesstaaten,Texas,Kalifornien*California*Californien,Florida,New York*New york,Washington
"...Dinge, die im Dunkeln leuchten",Glühwürmchen*Leuchtkäfer*Würmchen*Glühwurm,Lampe*Lampen*Taschenlampe*Taschenlampen*Nachtlampe*Laterne*Glühbirne*Glühbirnen*Straßenlaterne,Mond,Sterne,Neon*Neonfarben*Neonlampe*Neon Lampe*Neonfarbene Dinge*Neonlicht
"...Dinge, die Strom erzeugen",Generator*Dynamo*Fahrraddynamo*Generatoren*Benzingenerator*Elektrogeneratoren,Windrad*Wind*Windräder*Windkraftwerk*Windturbine*windkraftanlage*Windkraftanlage*Windmühle*Windparks*Windraeder,Solarzellen*Solaranlage*Solarzelle*Solar*Sonne*Solarenergie*Solarpanel*Sonnenkollektoren,Wasser*Staudamm*Wasserkraftwerk*Wasserkraft,Kraftwerk*Kraftwerke
...Sportarten,Fußball*Fussball,Basketball,Tennis,Schwimmen,Volleyball
...Instrumente in einer Jazz-Band,Saxophon*Saxophone*Saxofon,Trompete,Bass*Bass Gitarre,Klavier*Piano,Schlagzeug*Drums
"...Dinge, die man immer bei sich trägt",Handy*Smartphone*Telefon,Geldbeutel*Geldbörse*Portemonnaie*Geld*Portmonee*Portmonnaie*Brieftasche,Schlüssel*Schlüsselbund*Hausschlüssel,Uhr*Taschenuhr*Armbanduhr,Ausweis*Personalausweis*Ausweiss
"...Berufsgruppen, die in Krimis häufig der Täter sind",Gärtner*Gaertner,Butler,Manager*Unternehmer*Geschäftsführer*Geschäftsmann,Arzt*Ärzte,Hausmeister
...typische Kosenamen,Schatz*Schatzi,Hase*Hasi*Häschen,Mausi*Maus*Mäusi*Mäuschen,Liebling*Liebes,Schnucki
...amerikanische Automobilhersteller,Ford,Chevrolet*Chevy*Chevvy,General Motors*GM*GMC*Gmc,Chrysler*Crysler,Tesla
...Traumberufe von Kindern,Feuerwehrmann*Feuerwehrfrau*Feuerwehr,Polizist*Polizistin,Astronaut,Pilot,Arzt*Tierarzt*Ärztin*Tierärztin*Doktor
"...Körperteile/Organe, die man in linker und rechter Ausführung besitzt",Arme*Arm,Niere*Nieren,Lunge*Lungenflügel*Lungen,Hand*Hände,Bein*Beine
"...Früchte, bei denen man die Schale mitessen kann",Apfel*Äpfel,Birne*Birnen,Pfirsich*Nektarine,Traube*Trauben*Weintraube*Weintrauben,Pflaume*Zwetschge*Pflaumen*Zwetschgen
...Biermarken,Becks*Beck's,Heineken,Krombacher,Veltins,Bitburger
...Freizeitaktivitäten auf/im Wasser,Schwimmen*schwimmen,Tauchen*tauchen,Surfen*surfen*Windsurfen*Surfing,Segeln*segeln,Wasserski*Wasserski laufen*Wasserskifahren
...Tiere mit gemusterten Fell,Zebra,Tiger,Leopard,Giraffe,Gepard
...Nachbarländer Deutschlands,Polen,Österreich*Austria*Oesterreich,Frankreich*France,Schweiz,Niederlande*Holland*Niederlanden
...Hauptstädte deutscher Bundesländer,München*Muenchen,Berlin,Hamburg,Düsseldorf,Stuttgart
...typische Zootiere,Löwe,Affe*Affen,Elefant*Elefanten*Elephant,Giraffe,Tiger
...Fortbewegungsmittel,Auto,Fahrrad,Zug*Bahn*Eisenbahn*ICE,Bus,Flugzeug
